queue_action_id,action_type,target_scope,source_residual_ids,product,contract_role,contract,period,physical_path,current_evidence,recommended_action,requires_code_change,requires_manifest_change,requires_db_write,requires_parquet_write,requires_rqdata,risk_level,rollback_method
ACT-5d14e2ff12d0a86d,rebuild_derived_period_from_1m,al:60m:2010-01-04:2026-07-10,"[""RES-3c7fcf90f36bba1e""]",al,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-f3794a3a91fee8eb,rebuild_derived_period_from_1m,ap:15m:2017-12-22:2026-07-10,"[""RES-eed19a75a0a9717b""]",ap,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2017-12-22"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-c57ba6261b875409,rebuild_derived_period_from_1m,ap:30m:2017-12-22:2026-07-10,"[""RES-2b6a1935e0882db2""]",ap,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2017-12-22"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-4837fd1945a3066b,rebuild_derived_period_from_1m,ap:5m:2017-12-22:2026-07-10,"[""RES-9b85ce21250329f6""]",ap,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2017-12-22"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-4fb994b168993372,rebuild_derived_period_from_1m,ap:60m:2017-12-22:2026-07-10,"[""RES-ab268afb25c99db7""]",ap,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2017-12-22"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-d69b431a456cacad,rebuild_derived_period_from_1m,au:15m:2010-01-04:2026-07-10,"[""RES-9ce413f24d219bae""]",au,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-22cbadb84e2f32db,rebuild_derived_period_from_1m,au:30m:2010-01-04:2026-07-10,"[""RES-9510e674dcbdcb4e""]",au,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-2b6780a59058657f,rebuild_derived_period_from_1m,au:5m:2010-01-04:2026-07-10,"[""RES-f4dcddcd6a3b6674""]",au,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-adff9b9d04c3c0d5,rebuild_derived_period_from_1m,au:60m:2010-01-04:2026-07-10,"[""RES-4d63bacca01b472e""]",au,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-a9b8bc26e7dd9d76,rebuild_derived_period_from_1m,b:15m:2010-01-04:2026-07-10,"[""RES-a9e8941abffde898""]",b,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-a228978fb7c6fb94,rebuild_derived_period_from_1m,b:30m:2010-01-04:2026-07-10,"[""RES-289f11bc3cea3397""]",b,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-7c249c1be96b0a51,rebuild_derived_period_from_1m,b:5m:2010-01-04:2026-07-10,"[""RES-2e7815e024348600""]",b,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-6d2a4a13c212ac20,rebuild_derived_period_from_1m,b:60m:2010-01-04:2026-07-10,"[""RES-ccf5c69a22c4629e""]",b,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-12b952989df7ad5d,rebuild_derived_period_from_1m,bb:15m:2013-12-06:2026-07-10,"[""RES-a869a8bc0272e956""]",bb,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2013-12-06"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-6de979dc3f0658a4,rebuild_derived_period_from_1m,bb:30m:2013-12-06:2026-07-10,"[""RES-81d0037f54d9fb3f""]",bb,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2013-12-06"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-816ef753f771b150,rebuild_derived_period_from_1m,bb:5m:2013-12-06:2026-07-10,"[""RES-d0992ad888b2ddb1""]",bb,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2013-12-06"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-29563bfe4a13422b,rebuild_derived_period_from_1m,bb:60m:2013-12-06:2026-07-10,"[""RES-15680e30c96fd111""]",bb,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2013-12-06"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-75eab9ec3d0b7cc4,rebuild_derived_period_from_1m,bu:15m:2013-10-09:2026-07-10,"[""RES-6857a12081c51470""]",bu,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2013-10-09"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-26783cea9a055453,rebuild_derived_period_from_1m,bu:30m:2013-10-09:2026-07-10,"[""RES-c25077eeba2f2287""]",bu,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2013-10-09"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-1e2e14c030c332ee,rebuild_derived_period_from_1m,bu:5m:2013-10-09:2026-07-10,"[""RES-66f6050f68e13224""]",bu,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2013-10-09"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-314cb63ca401a35d,rebuild_derived_period_from_1m,bu:60m:2013-10-09:2026-07-10,"[""RES-6df1a23f8c0fc7a9""]",bu,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2013-10-09"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-47b3a45141a40071,rebuild_derived_period_from_1m,c:15m:2010-01-04:2026-07-10,"[""RES-8674ee1b1290db53""]",c,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-87c9dc78cd1d852b,rebuild_derived_period_from_1m,c:30m:2010-01-04:2026-07-10,"[""RES-4b3e59fe0ada2688""]",c,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-b02aa820ffbb2bb8,rebuild_derived_period_from_1m,c:5m:2010-01-04:2026-07-10,"[""RES-c409c6c7ba048923""]",c,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-31e1fc589e0ae3e8,rebuild_derived_period_from_1m,c:60m:2010-01-04:2026-07-10,"[""RES-fc49cb3ae1dffaa4""]",c,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-17937c3c5a962d1e,rebuild_derived_period_from_1m,cf:15m:2010-01-04:2026-07-10,"[""RES-4ea36ac434e5ffca""]",cf,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-729c59cf101dc16e,rebuild_derived_period_from_1m,cf:30m:2010-01-04:2026-07-10,"[""RES-8b5e1db0229f4efb""]",cf,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-dc0f82fda914ff18,rebuild_derived_period_from_1m,cf:5m:2010-01-04:2026-07-10,"[""RES-bc4ad23b72eac5ca""]",cf,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-b123b52d40b8351e,rebuild_derived_period_from_1m,cf:60m:2010-01-04:2026-07-10,"[""RES-b7cba3d15228eb63""]",cf,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-8999af445a5a09e4,rebuild_derived_period_from_1m,cj:15m:2019-04-30:2026-07-10,"[""RES-f6126139a55d4f7f""]",cj,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2019-04-30"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-1fcc1e0b44e169be,rebuild_derived_period_from_1m,cj:30m:2019-04-30:2026-07-10,"[""RES-c0b7ced88f37bddd""]",cj,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2019-04-30"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-80ed5a294708c1f2,rebuild_derived_period_from_1m,cj:5m:2019-04-30:2026-07-10,"[""RES-6b3407d0de35c87f""]",cj,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2019-04-30"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-6d084bbd34a5384b,rebuild_derived_period_from_1m,cj:60m:2019-04-30:2026-07-10,"[""RES-f8febe5af5b42d48""]",cj,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2019-04-30"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-466a621b634d331d,rebuild_derived_period_from_1m,cs:15m:2014-12-19:2026-07-10,"[""RES-afd3067b97565109""]",cs,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2014-12-19"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-a3de3a2cef2f1889,rebuild_derived_period_from_1m,cs:30m:2014-12-19:2026-07-10,"[""RES-a8664e3dc67e6eb7""]",cs,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2014-12-19"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-ce878e7be8234b0a,rebuild_derived_period_from_1m,cs:5m:2014-12-19:2026-07-10,"[""RES-fd57941915660b93""]",cs,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2014-12-19"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-85cb2451b9dcd941,rebuild_derived_period_from_1m,cs:60m:2014-12-19:2026-07-10,"[""RES-25b5ba62802a167f""]",cs,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2014-12-19"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-5bdd07793961cfe4,rebuild_derived_period_from_1m,cu:15m:2010-01-04:2026-07-10,"[""RES-f6ab9ccbdf40aa75""]",cu,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-54322b7289f01700,rebuild_derived_period_from_1m,cu:30m:2010-01-04:2026-07-10,"[""RES-a9061bf2d6fb9ea2""]",cu,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-9da18e7bec1ef145,rebuild_derived_period_from_1m,cu:5m:2010-01-04:2026-07-10,"[""RES-a8b4e74821d6a0b7""]",cu,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-26eedcb9a3e6a20a,rebuild_derived_period_from_1m,cu:60m:2010-01-04:2026-07-10,"[""RES-f12e90df2d0a2470""]",cu,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-e88a044159f46d27,rebuild_derived_period_from_1m,cy:15m:2017-08-18:2026-07-10,"[""RES-e12caebc0d282e38""]",cy,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2017-08-18"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-6e6bf2b97332c1a5,rebuild_derived_period_from_1m,cy:30m:2017-08-18:2026-07-10,"[""RES-126bff2ac2039a14""]",cy,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2017-08-18"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-72272c27d9370ee6,rebuild_derived_period_from_1m,cy:5m:2017-08-18:2026-07-10,"[""RES-ff3b11cfba6f068c""]",cy,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2017-08-18"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-546eb8f3c6bfe81f,rebuild_derived_period_from_1m,cy:60m:2017-08-18:2026-07-10,"[""RES-098004bf04c5a8d7""]",cy,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2017-08-18"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-8b0343f2bdf311a9,rebuild_derived_period_from_1m,eb:15m:2019-09-26:2026-07-10,"[""RES-aace0d8aba734d7c""]",eb,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2019-09-26"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-f44ffd0110fb27f9,rebuild_derived_period_from_1m,eb:30m:2019-09-26:2026-07-10,"[""RES-555b38603160730b""]",eb,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2019-09-26"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-c87506c452c3e157,rebuild_derived_period_from_1m,eb:5m:2019-09-26:2026-07-10,"[""RES-8de56a5ffcffe197""]",eb,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2019-09-26"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
