evidence_id,unsafe_id,consumer,entrypoint,evidence,escape_pattern,classification,formal_scope,profile_contract,quality_contract,lineage_contract,finding
SIG-06,,Signal,live-confirmed persistence gate,services/quant-api/app/services/live_signal_events.py:79-99; 128-174,strict confirmed event gate,formal_production_research,yes,PARTIAL,PASS,FAIL,"Gate requires passed quality no warnings confirmed bar rqdata and actual contract; persisted event still lacks complete asset lineage."
SIG-07,,Signal,live signal preview,services/quant-api/app/schemas/signal.py:60-70; services/quant-api/app/services/live_signal_evaluator.py:151-170; 326-332,warning preview override,safe_browser_mode,no,PARTIAL,DISPLAY_ONLY,DISPLAY_ONLY,"Read-only preview may show warning data; persistence is separately strict."
REV-01,U-REV-01,Review,Review API source linkage,services/quant-api/app/services/review_center.py:14-55; 93-142; 250-282; services/quant-api/app/models/review.py:14-50,未记录 profile_id; 未记录 market_data_file_id; 未记录 binding snapshot,unsafe_bypass,yes,FAIL,UNKNOWN,FAIL,"Review retains trade/report identity and descriptive fields but cannot prove the original bar asset or binding."
REV-02,U-REV-02,Review,Web review Kline lookup,apps/quant-web/src/api/market.ts:126-203; 210-260; apps/quant-web/src/pages/review/index.vue:248-266,自行判断 main; drops provider; missing profile_id,unsafe_bypass,yes,FAIL,UNKNOWN,FAIL,"Web guesses contract candidates including symbol.MAIN and retries without provider, so it may display a different active file."
MKT-01,,Market,GET /api/v1/market/bars,services/quant-api/app/api/market.py:118-149; services/quant-api/app/services/market_workbench.py:200-240,optional Profile; warning display,safe_browser_mode,no,PARTIAL,DISPLAY_ONLY,PARTIAL,"Browser bars are Profile-aware when requested; unbound nonfailed fallback is acceptable only as labeled browsing."
MKT-02,U-MKT-01,Market,bar and indicator requests,services/quant-api/app/services/market_workbench.py:200-221; services/quant-api/app/services/market_indicators.py:66-90; apps/quant-web/src/pages/market/chart.vue:491-551; 711-744,independent binding resolution,unsafe_bypass,yes,PARTIAL,PARTIAL,FAIL,"Bars and indicators resolve/read separately; a binding switch between calls cannot be detected because indicator output lacks binding identity."
MKT-03,,Market,browser default coverage selection,services/quant-api/app/services/market_workbench.py:508-525; services/quant-api/app/services/market_data_reader.py:463-482,warning/unchecked display fallback,safe_browser_mode,no,FAIL,DISPLAY_ONLY,PARTIAL,"Fallback may choose warning or unchecked actual assets; it must remain a visibly labeled browser mode."
MKT-04,U-MKT-02,Market/Signal/Live,actual contract selection,services/quant-api/app/services/market_dominant_reader.py:129-153; services/quant-api/app/services/live_target_contracts.py:124-132; services/quant-api/app/services/signal_scanner.py:131-160; services/quant-api/app/signal/contract_context.py:42-73,自行判断 main/actual,unsafe_bypass,yes,FAIL,PARTIAL,FAIL,"Market live and historical Signal use different actual/main selection rules and defaults."
WEB-01,,Web,chart display indicators,apps/quant-web/src/pages/market/chart.vue:295-304; 750-760,自行计算 display indicator,safe_browser_mode,no,N/A,DISPLAY_ONLY,N/A,"Front-end EMA ATR MACD fallback is display-only and must not become a formal strategy input."
EXP-01,U-EXP-01,Experiment,rqdata sample acceptance persistence,experiments/rqdata_sample_acceptance/run_sample.py:1392-1419,direct path into formal BacktestService,unsafe_bypass,no,FAIL,PARTIAL,FAIL,"Experiment persists research_only=false direct-path tasks/reports into the application DB without Profile lineage."
EXP-02,U-EXP-02,Experiment,vn.py demo --use-app-db,experiments/vnpy_rqdata_demo/run_demo.py:91-99; 673-721,direct path into configured app DB,unsafe_bypass,no,FAIL,PASS,FAIL,"Optional app DB mode persists strict physical files but no Profile/file snapshot."
EXP-03,,Experiment,vn.py demo low-level read,experiments/vnpy_rqdata_demo/run_demo.py:593-621; 793-826,direct Path / read_parquet,experiment_only,no,N/A,PASS,N/A,"Strict isolated low-level runner path is allowed only outside formal persistence."
EXP-04,,Experiment,sample period aggregation,experiments/rqdata_sample_acceptance/run_sample.py:551-570; 805-885,自行聚合周期,experiment_only,no,N/A,SELF_EVALUATED,N/A,"Historical acceptance experiment builds 5m 15m and 1d from a supplied 1m path; it is not a formal consumer."
EXP-05,,Experiment,HTDY dry-run candidate,experiments/htdy_indicator/formal_backtest_candidate.py:81-119; 238-250; 318-349,direct Path / read_parquet,experiment_only,no,N/A,PASS,MANIFEST_ONLY,"Despite its name this is a no-write dry-run with manifest and quality validation."
FIX-01,,Test,HTDY golden sample,experiments/htdy_indicator/golden_sample.py:46-90; 342-355,direct fixture path,test_fixture,no,N/A,FIXED,FIXED,"Manifest hash window and row count pin the golden fixture."
LEG-01,,Legacy,report 14 OOS validation,scripts/oos_validation_run.py:83-90; 127-160,direct fixed-builder paths,legacy_frozen,no,FAIL,PASS,FROZEN_EXTERNAL,"Read-only frozen OOS chain inherits the fixed JM latest-file behavior; do not change persist or rerun report 14 in this phase."
LEG-02,,Legacy,report 14 lineage repair,scripts/stage13g_repair_report14_lineage.py:25-43; 62-84; 123-139; 267-288,controlled historical mutation,legacy_frozen,no,N/A,GUARDED,FROZEN,"Report 14 repair tool is guarded and dry-run by default; it must not be invoked by this phase or migration."
ADM-01,,Admin,report review package export,scripts/export_su_bing_report_10_review_package.py:239-272,latest DB file by data_version and id,admin_internal,no,FAIL,PASS,FAIL,"Admin export independently searches JM.MAIN 1d primary passed; its Review lineage defect is registered under U-REV-01."
ADM-02,,Admin,weekly backfill coverage,scripts/rqdata_backfill_1w_pre2020_listing.sh:175-194; 219-233,glob latest parquet; direct read_parquet,admin_internal,no,N/A,UNKNOWN,N/A,"Data repair inventory cannot be reused as a formal active selector."
ADM-03,,Admin,full universe download skip,scripts/rqdata_full_universe_download.sh:31-64; 102-115,glob first match,admin_internal,no,N/A,UNKNOWN,N/A,"File existence based skip may see stale physical assets but is outside formal consumer scope."
ADM-04,,Admin,dominant V2 incremental baseline,services/quant-api/app/services/rqdata_ingest/dominant_v2_incremental.py:57-79,glob latest parquet,admin_internal,no,N/A,UNKNOWN,N/A,"Producer baseline selector has no Profile binding and must remain data-maintenance-only."
CLI-01,U-CLI-01,CLI,run-su-bing-backtest,services/quant-api/app/cli.py:24-35; 57-97,自行允许 warning; unchecked passes; missing profile_id,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Formal command-line backtest exposes warning override and uses MarketDataReader without a Profile; unchecked quality can proceed."
