caller_id,formal_or_legacy,indicator,implementation_source,seed_policy,smoothing_policy,histogram_scale,lookback,confirmed_only,data_profile,binding_lineage,repainting_risk,report_or_signal_dependency,migration_risk,recommended_action
jm_v1b_report14_macd,formal_frozen,MACD,packages/quant-core/guiyi_quant/strategies/jm_v1b_daily_direction_fast_entry/vnpy_strategy.py:calculate_indicators,first_value,recursive_ema_alpha_2_over_period_plus_1,not_directly_output,intraday_window220_and_daily_min35,true,local_parquet_primary_passed_frozen_report14,historical_report14_has_frozen_evidence_not_current_binding_snapshot,none,report_id14 and JM V1-B entry decisions,critical,frozen_legacy_keep: preserve first_value semantics and report14 outputs
jm_v1b_report14_atr,formal_frozen,ATR14,packages/quant-core/guiyi_quant/strategies/jm_v1b_daily_direction_fast_entry/vnpy_strategy.py:_atr_series,not_applicable,ema_first_tr,not_applicable,intraday_window220_and_daily_min35,true,local_parquet_primary_passed_frozen_report14,historical_report14_has_frozen_evidence_not_current_binding_snapshot,none,report_id14 stops filters and sizing inputs,critical,frozen_legacy_keep: preserve ema_first_tr semantics and report14 outputs
jm_v1b_historical_scanner,formal_frozen,EMA21/MACD/ATR14,services/quant-api/app/signal/jm_v1b.py:shared_JM_helpers,inherited_first_value,inherited_ema_first_tr,not_directly_output,intraday_window220_and_daily_min35,true,intraday_research_v1_plus_daily_context,SignalFormalLineageResolver snapshot on formal signal,none,Formal historical StrategySignal,critical,frozen_legacy_keep: inherit JM v1b.0 exactly and migrate only with the strategy Gate
jm_v1b_live_evaluator,formal_frozen,EMA21/MACD/ATR14,services/quant-api/app/services/live_signal_evaluator.py:shared_JM_helpers,inherited_first_value,inherited_ema_first_tr,not_directly_output,intraday_window220_and_daily_min35,true,live_observation_profile_request_plus_long_horizon_daily_v1,confirmed_actual_bar_and_SignalFormalLineageResolver_snapshot,none,Preview and live-confirmed SignalEvent candidate,critical,frozen_legacy_keep: keep shared JM helper and confirmed-only boundary
jm_v1b_stage9_replay,formal_frozen,EMA21/MACD/ATR14,services/quant-api/app/signal/stage9_jm_v1b_replay.py:shared_JM_helpers,inherited_first_value,inherited_ema_first_tr,not_directly_output,intraday_window220_and_daily_min35,true,intraday_research_v1_plus_long_horizon_daily_v1,ProfileLineageResolver_and_SignalFormalLineageResolver_snapshot,none,Stage9 replay SignalEvent evidence,critical,frozen_legacy_keep: preserve the accepted replay policy
daily_ema21_macd_volume_ema,formal,EMA21,packages/quant-core/guiyi_quant/strategies/su_bing_jm_daily_ema21_macd_volume/vnpy_strategy.py:_ema_series,first_value,recursive_ema_alpha_2_over_period_plus_1,not_applicable,minimum28_completed_daily_bars,true,formal_BacktestService_profile,inherited_Backtest_binding_snapshot_but_no_indicator_policy_snapshot,none,Fixed JM daily backtest reports,high,formal_must_migrate: use first_value kernel policy with report and trade regression
daily_ema21_macd_volume_macd,formal,MACD,packages/quant-core/guiyi_quant/strategies/su_bing_jm_daily_ema21_macd_volume/vnpy_strategy.py:calculate_indicators,first_value,recursive_ema_alpha_2_over_period_plus_1,1,minimum28_completed_daily_bars,true,formal_BacktestService_profile,inherited_Backtest_binding_snapshot_but_no_indicator_policy_snapshot,none,Fixed JM daily backtest reports,high,formal_must_migrate: use first_value scale1 kernel policy with report and trade regression
daily_score2of4_ema,formal,EMA21,packages/quant-core/guiyi_quant/strategies/su_bing_jm_daily_score2of4/vnpy_strategy.py:_ema_series,first_value,recursive_ema_alpha_2_over_period_plus_1,not_applicable,minimum28_completed_daily_bars,true,formal_BacktestService_profile,inherited_Backtest_binding_snapshot_but_no_indicator_policy_snapshot,none,Fixed JM daily score reports,high,formal_must_migrate: use first_value kernel policy with report and trade regression
daily_score2of4_macd,formal,MACD,packages/quant-core/guiyi_quant/strategies/su_bing_jm_daily_score2of4/vnpy_strategy.py:calculate_indicators,first_value,recursive_ema_alpha_2_over_period_plus_1,1,minimum28_completed_daily_bars,true,formal_BacktestService_profile,inherited_Backtest binding snapshot but no indicator policy snapshot,none,Fixed JM daily score reports,high,formal_must_migrate: use first_value scale1 kernel policy with report and trade regression
daily_trend_cross_score2,formal,EMA21/MACD,packages/quant-core/guiyi_quant/strategies/su_bing_jm_daily_trend_cross_score2/vnpy_strategy.py:reused_score2_helper,first_value,recursive_ema_alpha_2_over_period_plus_1,1,minimum28_completed_daily_bars,true,formal_BacktestService_profile,inherited_Backtest_binding_snapshot_but_no_indicator_policy_snapshot,none,Fixed JM daily trend-cross reports,high,formal_must_migrate: migrate together with score2of4 and prove helper reuse remains exact
su_bing_jm_v1b_short_hold,legacy_frozen,EMA21,packages/quant-core/guiyi_quant/strategies/su_bing_jm_v1b_short_hold/vnpy_strategy.py:_ema_series,first_value,recursive_ema_alpha_2_over_period_plus_1,not_applicable,entry22_and_daily22_minimum,true,injected_Backtest_or_daily_bars,parent task lineage only and no indicator policy snapshot,none,Historical V1-B short-hold strategy baseline,high,frozen_legacy_keep: keep versioned baseline and do not merge semantics into JM report14 strategy
htdy_original_poc,experiment,huotian_dayou_original_v0,experiments/htdy_indicator/htdy_original_core.py,centered_XMA,mixed_XMA_EMA_MA,not_applicable,period25_with_future_window,false,explicit_sample_only,manifest_or_sample_evidence_only,known,Golden and visual observation comparison,critical,experiment_only: retain as immutable comparison oracle and block formal consumption
htdy_strict_core,candidate,huotian_dayou_strict_v1,packages/quant-core/guiyi_quant/strategies/huotian_dayou_strict/vnpy_strategy.py:compute_strict_fields,sma_window,trailing_double_EMA_and_trailing_MA,not_applicable,channel_first49_zd2_first73_var23_first12,true,injected_15m_bars,no_Profile_resolution_inside_strategy,none,Formal backtest candidate strategy decisions,high,manual_review: nonrepainting core passes tests but needs a Profile-bound formal report Gate
htdy_formal_candidate_dry_run,experiment,huotian_dayou_strict_v1,experiments/htdy_indicator/formal_backtest_candidate.py,strict_v1,strict_v1,not_applicable,full_explicit_manifest_window,true,explicit_manifest_rqdata_or_local_parquet_primary_passed,manifest_lineage_without_Profile_binding_snapshot,none,Readonly normalized candidate output,high,experiment_only: keep readonly and do not call it formal BacktestService consumption
htdy_research_persistence_test,experiment,huotian_dayou_strict_v1,services/quant-api/tests/test_htdy_formal_backtest_candidate.py:test_normalized_result_can_be_persisted,strict_v1,strict_v1,not_applicable,synthetic_fixture,true,research_only_direct_BacktestTaskConfig,no_Profile_binding_and_low_level_create_task_only,none,Isolated report and trust-audit test,critical,experiment_only: add create_formal_task plus Profile lineage integration before formal report readiness
